covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
baseline_radius,0.0005391274282998845,1.0005392727836124,0.00013405969772382396,0.0002763752489828633,0.0008018796076169057,1.0002764134441406,1.000802201199023,0.0,4.021547396075288,5.781707118204758e-05,14.078144945839004
baseline_mobility_distance,-2.5317789275771058e-05,0.9999746825312168,2.3520615889670914e-07,-2.5778784876150614e-05,-2.4856793675391502e-05,0.9999742215473939,0.9999751435152523,0.0,-107.64084322676845,0.0,inf
baseline_displacement,0.0008594093017684796,1.0008597786997562,0.00017300166015653802,0.000520332278596027,0.0011984863249409321,1.0005204676749186,1.0011992047966738,0.0,4.967636154421037,6.77739714677458e-07,20.492765350204497
baseline_unique_locations,-0.05991242762526181,0.9418470097521631,0.0005571559724189491,-0.061004433264974345,-0.05882042198554928,0.9408190688665391,0.9428760737681522,0.0,-107.53259516387473,0.0,inf
baseline_max_displacement,1.849253817180332e-05,1.0000184927091598,7.011776603894137e-05,-0.0001189357579409275,0.00015592083428453413,0.9998810713146359,1.0001559329905694,0.0,0.26373541566531233,0.791983803648784,0.33645716790887115
baseline_n_days,0.043584294006159256,1.0445480397400186,0.007123439527338358,0.02962260908652705,0.05754597892579146,1.0300657231471033,1.0592339719752997,0.0,6.118433916493755,9.44994555739115e-10,29.978974931106904
baseline_n_obs,-0.0027392276875598293,0.9972645205733746,2.5871785807391616e-05,-0.002789935455958051,-0.0026885199191616074,0.997213952797134,0.9973150909138594,0.0,-105.87702402735674,0.0,inf
baseline_entropy,-0.8405453416130876,0.431475157898988,0.025681195811468133,-0.890879560483486,-0.7902111227426891,0.4102947149804626,0.4537489884382783,0.0,-32.729992317481404,5.8490764540212176e-235,778.1048934516782
day0_mds,-0.003497971027653282,0.9965081397458225,0.0010760240092184106,-0.005606939332221762,-0.001389002723084802,0.9944087502149733,0.9986119614947122,0.0,-3.2508299049889193,0.0011506867887220926,9.763289092243186
day0_max_displacement,1.856499902912215e-05,1.0000185651713598,7.013355478462753e-05,-0.00011889424245651459,0.00015602424051475888,0.9998811128251838,1.0001560364129296,0.0,0.2647092263629475,0.7912334693624941,0.33782464115886596
day0_n_obs,-0.03239343459173946,0.9681256130355945,0.00031459292890721817,-0.03301002540218858,-0.031776843781290344,0.967528859674462,0.9687227344628271,0.0,-102.96936648977622,0.0,inf
