disaster,n_obs,n_users,t_min,t_max,event_datetime_utc,clock_in_window,day_relative_min,day_relative_max
01_Wipha,1416906,74724,2013-09-30 03:00:01+00:00,2013-11-07 02:59:59+00:00,2013-10-15 15:00:00+00:00,True,-16,22
02_Halong,171559,5244,2014-07-22 03:00:21+00:00,2014-08-25 02:59:39+00:00,2014-08-07 03:00:00+00:00,True,-16,17
06_Kalmaegi,43396,1375,2014-08-29 03:39:16+00:00,2014-10-02 02:06:37+00:00,2014-09-14 09:00:00+00:00,True,-17,17
08_Rammasun_Manila,817516,35322,2014-06-07 03:00:02+00:00,2014-08-03 02:59:59+00:00,2014-07-15 16:00:00+00:00,True,-39,18
12_Bohol,114606,7942,2013-09-30 03:03:19+00:00,2013-10-31 02:59:45+00:00,2013-10-15 00:12:31+00:00,True,-15,16
13_Iquique,15297,1470,2014-03-17 12:09:38+00:00,2014-04-17 02:52:30+00:00,2014-04-01 20:46:45+00:00,True,-16,15
14_Napa,38019,1850,2014-07-30 03:01:16+00:00,2014-08-30 02:56:01+00:00,2014-08-24 10:20:44+00:00,True,-26,5
21_Norfolk,115017,8498,2013-11-20 05:00:41+00:00,2013-12-21 02:52:36+00:00,2013-12-05 18:00:00+00:00,True,-16,15
22_Hamburg,15053,2745,2013-11-20 06:11:24+00:00,2013-12-21 02:58:44+00:00,2013-12-06 05:00:00+00:00,True,-16,14
23_Atlanta,157178,15783,2014-01-08 03:00:08+00:00,2014-02-14 02:59:52+00:00,2014-01-28 17:00:00+00:00,True,-21,16
31_Phoenix,579733,23132,2014-08-24 03:00:05+00:00,2014-09-24 02:59:14+00:00,2014-09-08 21:00:00+00:00,True,-16,15
32_Detroit,765349,15949,2014-08-11 03:00:03+00:00,2014-09-11 02:59:52+00:00,2014-08-12 00:00:00+00:00,True,-1,30
33_Baltimore,328880,14582,2014-07-28 03:00:44+00:00,2014-08-28 02:59:10+00:00,2014-08-12 20:00:00+00:00,True,-16,15
41_AuFire1,43275,4829,2013-10-08 03:04:35+00:00,2013-11-10 02:51:13+00:00,2013-10-16 13:00:00+00:00,True,-9,24
42_AuFire2,64370,7845,2013-10-08 03:09:04+00:00,2013-11-10 02:49:31+00:00,2013-10-16 13:00:00+00:00,True,-9,24
